No.,Event Type,Current Time,Customer Serial,Server Status,Queue Size
1,Arrival,3.1,1,0,0
2,Service,3.1,1,1,0
3,Arrival,8.6,2,1,0
4,Departure,11.7,1,0,1
5,Service,11.7,2,1,0
6,Arrival,18.9,3,1,0
7,Departure,20.5,2,0,1
8,Service,20.5,3,1,0
9,Departure,21.9,3,0,0
10,Arrival,25.3,4,0,0
11,Service,25.3,4,1,0
12,Arrival,28.4,5,1,0
13,Departure,30.8,4,0,1
14,Service,30.8,5,1,0
15,Arrival,31.9,6,1,0
16,Arrival,34.9,7,1,1
17,Departure,35.2,5,0,2
18,Service,35.2,6,1,1
19,Arrival,36,8,1,1
20,Departure,36.4,6,0,2
21,Service,36.4,7,1,1
22,Arrival,39.9,9,1,1
23,Departure,44.4,7,0,2
24,Service,44.4,8,1,1
25,Departure,45.6,8,0,1
26,Service,45.6,9,1,0
27,Departure,46.1,9,0,0
28,Arrival,49,10,0,0
29,Service,49,10,1,0
30,Departure,49.5,10,0,0
